node1,node2,edge,color
dfrA14,catB11,0.125,indianred3
ANT(3'')-IIa,catB11,0.3,indianred3
AAC(6')-Ib7,catB11,0.5,indianred3
OXA-10,catB11,0.25,indianred3
OXA-9,catB11,0.333333333,indianred3
aadA,catB11,1,rosybrown1
qacH,aadA5,0.4,indianred3
OXA-2,aadA5,0.25,indianred3
OXA-2,OXA-226,0.25,indianred3
intI1,QnrVC4,0.222222222,indianred3
qacH,QnrVC4,0.1,indianred3
AAC(6')-Ib9,QnrVC4,0.333333333,indianred3
cmlA5,QnrVC4,0.285714286,indianred3
OXA-10,QnrVC4,0.25,indianred3
AAC(6')-Ib-cr,QnrVC4,0.5,indianred3
intI1,OXA-10,0.222222222,indianred3
AAC(6')-Ib9,OXA-10,0.166666667,indianred3
cmlA5,OXA-10,0.142857143,indianred3
catB11,OXA-10,0.2,indianred3
QnrVC4,OXA-10,0.25,indianred3
AAC(6')-Ib-cr,OXA-10,0.25,indianred3
rsmA,CRP,1,rosybrown1
CRP,rsmA,1,rosybrown1
aadA11,OXA-129,1,rosybrown1
aadA10,OXA-129,1,rosybrown1
OXA-129,aadA11,0.5,indianred3
dfrA14,ANT(2'')-Ia,0.375,indianred3
cmlA5,ANT(2'')-Ia,0.142857143,indianred3
VEB-6,ANT(2'')-Ia,1,rosybrown1
VEB-1,ANT(2'')-Ia,1,rosybrown1
VEB-9,ANT(2'')-Ia,1,rosybrown1
dfrA14,VEB-6,0.125,indianred3
ANT(2'')-Ia,VEB-6,0.285714286,indianred3
AAC(6')-Ib9,QnrVC5,0.166666667,indianred3
catB3,QnrVC5,1,rosybrown1
AAC(6')-Ib9,catB3,0.166666667,indianred3
QnrVC5,catB3,1,rosybrown1
qacEdelta1,OXA-4,0.043478261,indianred3
ANT(3'')-IIa,OXA-4,0.1,indianred3
aadA8b,OXA-4,0.5,indianred3
aadA6/aadA10,OXA-4,1,rosybrown1
ANT(3'')-IIa,OXA-21,0.1,indianred3
qacH,OXA-101,0.4,indianred3
qacEdelta1,OXA-224,0.043478261,indianred3
ANT(3'')-IIa,OXA-663,0.1,indianred3
AAC(6')-Ib-cr,OXA-663,0.25,indianred3
qacEdelta1,OXA-205,0.043478261,indianred3
aadA6,OXA-205,0.333333333,indianred3
sul1,OXA-205,0.05,indianred3
aadA17,OXA-205,1,rosybrown1
qacEdelta1,aadA17,0.043478261,indianred3
sul1,aadA17,0.05,indianred3
OXA-205,aadA17,0.5,indianred3
ANT(2'')-Ia,VEB-1,0.285714286,indianred3
intI1,AAC(6')-Ib-cr,0.111111111,indianred3
qacH,AAC(6')-Ib-cr,0.1,indianred3
QnrVC4,AAC(6')-Ib-cr,0.5,indianred3
OXA-10,AAC(6')-Ib-cr,0.25,indianred3
OXA-663,AAC(6')-Ib-cr,0.5,indianred3
ANT(3'')-IIa,OXA-17,0.1,indianred3
intI1,OXA-14,0.111111111,indianred3
qacEdelta1,OXA-9,0.086956522,indianred3
sul1,OXA-9,0.1,indianred3
aadA23,OXA-9,0.166666667,indianred3
ANT(3'')-IIa,OXA-9,0.1,indianred3
catB11,OXA-9,0.2,indianred3
dfrA14,VEB-9,0.125,indianred3
cmlA5,VEB-9,0.142857143,indianred3
ANT(2'')-Ia,VEB-9,0.285714286,indianred3
aadA23,catB2,0.166666667,indianred3
OXA-4,aadA6/aadA10,0.333333333,indianred3
aadS,mefC,0.25,indianred3
catB11,aadA,0.2,indianred3
AAC(6')-Ib7,BEL-1,0.5,indianred3
aadA13,arr-3,1,rosybrown1
arr-3,aadA13,1,rosybrown1
cmlA5,AAC(6')-Ib,0.142857143,indianred3
OXA-129,aadA10,0.5,indianred3
